folder,source,filename,expected_class,predicted_class,confidence,traversability_score,correct,p_soil,p_bedrock,p_sand,p_big_rock,inference_ms
4. Soil/AI4MAR Soil,AI4Mars,NLA_401855249EDR_F0042778NCAM00434M1.JPG,soil,soil,0.8733,0.0889,1,0.8733,0.1253,0.0006,0.0009,261.5
Other,campus_exploratory,Big rock 1.jpg,,soil,0.8473,0.1068,,0.8473,0.1506,0.0015,0.0006,313.0
Other,campus_exploratory,Big rock 2.jpg,,soil,0.9365,0.0441,,0.9365,0.0607,0.0023,0.0005,320.4
Other,campus_exploratory,Big rock 3.jpg,,soil,0.9467,0.0354,,0.9467,0.0427,0.0103,0.0004,236.4
Other,campus_exploratory,Big rock 4.jpg,,soil,0.9623,0.0255,,0.9623,0.0322,0.0052,0.0004,183.1
Other,campus_exploratory,Big rock 5.jpg,,soil,0.978,0.0151,,0.978,0.0201,0.0017,0.0002,272.0
Other,campus_exploratory,Grass.jpg,,soil,0.9995,0.0004,,0.9995,0.0005,0.0001,0.0,210.3
Other,campus_exploratory,Normal view 1.jpg,,soil,0.923,0.0455,,0.923,0.0335,0.0428,0.0006,222.1
Other,campus_exploratory,Normal view 2.jpg,,soil,0.9957,0.0027,,0.9957,0.0025,0.0018,0.0,186.8
Other,campus_exploratory,Normal view 3.jpg,,soil,0.9121,0.0457,,0.9121,0.0076,0.0799,0.0004,220.9
Other,campus_exploratory,Normal view 4.jpg,,soil,0.9851,0.0088,,0.9851,0.0057,0.0089,0.0003,163.4
Other,campus_exploratory,Normal view 5.jpg,,soil,0.993,0.0045,,0.993,0.005,0.002,0.0001,246.0
Other,campus_exploratory,Normal view 6.jpg,,soil,0.9843,0.0104,,0.9843,0.0125,0.003,0.0002,232.9
Other,campus_exploratory,Road 1.jpg,,soil,1.0,0.0,,1.0,0.0,0.0,0.0,257.9
Other,campus_exploratory,Road 2.jpg,,soil,0.9999,0.0,,0.9999,0.0001,0.0,0.0,213.0
Other,campus_exploratory,Road 3.jpg,,soil,0.9994,0.0004,,0.9994,0.0005,0.0,0.0,206.9
Other,campus_exploratory,Road 4.jpg,,soil,1.0,0.0,,1.0,0.0,0.0,0.0,271.2
Other,campus_exploratory,Road 5.jpg,,soil,1.0,0.0,,1.0,0.0,0.0,0.0,232.6
Other,campus_exploratory,Road 6.jpg,,soil,1.0,0.0,,1.0,0.0,0.0,0.0,161.4
Other,campus_exploratory,Small rock 1.jpg,,soil,0.9982,0.0013,,0.9982,0.0018,0.0,0.0,339.2
Other,campus_exploratory,Small rock 2.jpg,,soil,0.916,0.0589,,0.916,0.0839,0.0,0.0002,201.3
Other,campus_exploratory,Soil 2.jpg,,soil,0.9875,0.0087,,0.9875,0.0123,0.0001,0.0,201.6
Other,campus_exploratory,soil 1.jpg,,soil,0.8932,0.0748,,0.8932,0.1067,0.0001,0.0,219.0
Wall,campus_wall,LINE_ALBUM_Terrain_260729_60.jpg,,soil,0.9891,0.0074,,0.9891,0.0092,0.0016,0.0001,196.9
Wall,campus_wall,LINE_ALBUM_Terrain_260729_61.jpg,,soil,0.8158,0.094,,0.8158,0.0069,0.1763,0.0011,147.4
Wall,campus_wall,LINE_ALBUM_Terrain_260729_62.jpg,,soil,0.624,0.1902,,0.624,0.0067,0.3675,0.0018,254.6
Wall,campus_wall,LINE_ALBUM_Terrain_260729_63.jpg,,soil,0.9865,0.0077,,0.9865,0.0041,0.0093,0.0002,234.3
Wall,campus_wall,LINE_ALBUM_Terrain_260729_64.jpg,,soil,0.9938,0.0034,,0.9938,0.0012,0.0049,0.0001,427.4
Wall,campus_wall,LINE_ALBUM_Terrain_260729_65.jpg,,soil,0.8732,0.0675,,0.8732,0.0176,0.1081,0.0011,503.9
Wall,campus_wall,LINE_ALBUM_Terrain_260729_66.jpg,,soil,0.9434,0.0363,,0.9434,0.0384,0.0177,0.0006,315.6
Wall,campus_wall,LINE_ALBUM_Terrain_260729_67.jpg,,soil,0.8879,0.0646,,0.8879,0.0404,0.0708,0.0009,251.9
Wall,campus_wall,LINE_ALBUM_Terrain_260729_68.jpg,,soil,0.5593,0.2542,,0.5593,0.164,0.2747,0.002,187.0
Wall,campus_wall,LINE_ALBUM_Terrain_260729_69.jpg,,soil,0.8238,0.1023,,0.8238,0.0673,0.1073,0.0015,344.1
Wall,campus_wall,LINE_ALBUM_Terrain_260729_70.jpg,,soil,0.9928,0.0037,,0.9928,0.0007,0.0064,0.0001,370.9
Wall,campus_wall,LINE_ALBUM_Terrain_260729_71.jpg,,soil,0.9635,0.0248,,0.9635,0.0322,0.0042,0.0002,230.0
Wall,campus_wall,LINE_ALBUM_Terrain_260729_72.jpg,,soil,0.9546,0.027,,0.9546,0.0205,0.0245,0.0003,345.9
Wall,campus_wall,LINE_ALBUM_Terrain_260729_73.jpg,,soil,0.9849,0.0089,,0.9849,0.006,0.0089,0.0002,206.6
Wall,campus_wall,LINE_ALBUM_Terrain_260729_74.jpg,,soil,0.963,0.0233,,0.963,0.0226,0.0139,0.0005,302.1
Wall,campus_wall,LINE_ALBUM_Terrain_260729_75.jpg,,soil,0.9882,0.0067,,0.9882,0.0036,0.008,0.0002,425.0
Wall,campus_wall,LINE_ALBUM_Terrain_260729_76.jpg,,soil,0.9772,0.0127,,0.9772,0.0052,0.0172,0.0004,267.3
